Time,*gc_ldsq_t0/SQ_CAC_sig0_active,*gc_ldsq_t0/SQ_CAC_sig1_active,*gc_ldsq_t0/SQ_CAC_sig2_active,*gc_ldsq_t0/SQ_CAC_sig3_active,*gc_ldsq_t0/SQ_CAC_sig4_active,*gc_ldsq_t0/SQ_CAC_sig5_active,*gc_ldsq_t0/SQ_CAC_sig6_active,*gc_ldsq_t0/SQ_CAC_sig7_active,*gc_ldsq_t0/SQ_CAC_sig8_active,gc_sp_t
25307524,0,0,0,0,0,0,0,0,0,0.05989
25307593,0,0,0,0,0,0,0,0,0,0.06026
25307662,0,0,0,0,0,0,0,0,0,0.05962
25307731,0,0,0,0,0,0,0,0,0,0.05962
25307800,0,0,0,0,0,0,0,0,0,0.0599
25307869,0,0,0,0,0,0,0,0,0,0.06025
25307938,0,0,0,0,0,0,0,0,0,0.05961
25308007,0,0,0,0,0,0,0,0,0,0.0596
25308076,0,0,0,0,0,0,0,0,0,0.05988
25308145,0,0,0,0,0,0,0,0,0,0.06025
25308214,0,0,0,0,0,0,0,0,0,0.05962
25308283,0,0,0,0,0,0,0,0,0,0.0596
25308352,0,0,0,0,0,0,0,0,0,0.05987
25308421,0,0,0,0,0,0,0,0,0,0.06025
25308490,0,0,0,0,0,0,0,0,0,0.0596
25308559,0,0,0,0,0,0,0,0,0,0.0596
25308628,0,0,0,0,0,0,0,0,0,0.05987
25308697,0,0,0,0,0,0,0,0,0,0.06009
25308766,0,0,0,0,0,0,0,0,0,0.020862
25308835,0,0,0,0,0,0,0,0,0,0.05969
25308904,0,0,0,0,0,0,0,0,0,0.05946
25308973,0,0,0,0,0,0,0,0,0,0.06001
25309042,0,0,0,0,0,0,0,0,0,0.06016
25309111,0,0,0,0,0,0,0,0,0,0.05969
25309180,0,0,0,0,0,0,0,0,0,0.05946
25309249,0,0,0,0,0,0,0,0,0,0.06001
25309318,0,0,0,0,0,0,0,0,0,0.06016
25309387,0,0,0,0,0,0,0,0,0,0.05969
25309456,0,0,0,0,0,0,0,0,0,0.05945
25309525,0,0,0,0,0,0,0,0,0,0.06
25309594,0,0,0,0,0,0,0,0,0,0.06016
25309663,0,0,0,0,0,0,0,0,0,0.0597
25309732,0,0,0,0,0,0,0,0,0,0.05946
25309801,0,0,0,0,0,0,0,0,0,0.06001
25309870,0,0,0,0,0,0,0,0,0,0.06016
25309939,0,0,0,0,0,0,0,0,0,0.0597
25310008,0,0,0,0,0,0,0,0,0,0.05946
25310077,0,0,0,0,0,0,0,0,0,0.06001
25310146,0,0,0,0,0,0,0,0,0,0.06016
25310215,0,0,0,0,0,0,0,0,0,0.05969
25310284,0,0,0,0,0,0,0,0,0,0.05946
25310353,0,0,0,0,0,0,0,0,0,0.06
25310422,0,0,0,0,0,0,0,0,0,0.06016
25310491,0,0,0,0,0,0,0,0,0,0.05969
25310560,0,0,0,0,0,0,0,0,0,0.05945
25310629,0,0,0,0,0,0,0,0,0,0.06
25310698,0,0,0,0,0,0,0,0,0,0.06016
25310767,0,0,0,0,0,0,0,0,0,0.05969
25310836,0,0,0,0,0,0,0,0,0,0.05946
25310905,0,0,0,0,0,0,0,0,0,0.06
25310974,0,0,0,0,0,0,0,0,0,0.06017
25311043,0,0,0,0,0,0,0,0,0,0.05968
25311112,0,0,0,0,0,0,0,0,0,0.05947
25311181,0,0,0,0,0,0,0,0,0,0.05999
25311250,0,0,0,0,0,0,0,0,0,0.06017
25311319,0,0,0,0,0,0,0,0,0,0.05968
25311388,0,0,0,0,0,0,0,0,0,0.05946
25311457,0,0,0,0,0,0,0,0,0,0.05999
25311526,0,0,0,0,0,0,0,0,0,0.06016
25311595,0,0,0,0,0,0,0,0,0,0.03889
25311664,0,0,0,0,0,0,0,0,0,0.0596
25311733,0,0,0,0,0,0,0,0,0,0.05986
25311802,0,0,0,0,0,0,0,0,0,0.06026
25311871,0,0,0,0,0,0,0,0,0,0.05961
25311940,0,0,0,0,0,0,0,0,0,0.0596
25312009,0,0,0,0,0,0,0,0,0,0.05986
25312078,0,0,0,0,0,0,0,0,0,0.06027
25312147,0,0,0,0,0,0,0,0,0,0.0596
25312216,0,0,0,0,0,0,0,0,0,0.0596
25312285,0,0,0,0,0,0,0,0,0,0.05986
25312354,0,0,0,0,0,0,0,0,0,0.06027
25312423,0,0,0,0,0,0,0,0,0,0.0596
25312492,0,0,0,0,0,0,0,0,0,0.0596
25312561,0,0,0,0,0,0,0,0,0,0.05986
25312630,0,0,0,0,0,0,0,0,0,0.06027
25312699,0,0,0,0,0,0,0,0,0,0.0596
25312768,0,0,0,0,0,0,0,0,0,0.0596
25312837,0,0,0,0,0,0,0,0,0,0.05985
25312906,0,0,0,0,0,0,0,0,0,0.06027
25312975,0,0,0,0,0,0,0,0,0,0.0596
25313044,0,0,0,0,0,0,0,0,0,0.0596
25313113,0,0,0,0,0,0,0,0,0,0.05985
25313182,0,0,0,0,0,0,0,0,0,0.06028
